trial_number	correct	fast_or_slow	fix_duration	isi_duration	left_or_right	keypressed	RT	fixation_time	go_time	target_duration	response_time	trial_length	pd_parser_sample
201	0	slow	0.5	0.3	left	80	0.45363	0.36336	1.1331	2.2937	1.5686	6.9209	2404459
202	1	slow	0.5	0.4	right	79	0.54691	0.36272	1.2321	2.2937	1.761	7.0226	2411380
203	1	slow	0.7	0.7	right	79	0.48866	0.36005	1.7316	2.2937	2.2002	7.5177	2418400
204	0	slow	0.7	0.7	left	80	0.41823	0.36228	1.7334	2.2937	2.1311	7.5189	2425920
205	0	slow	0.4	0.5	left	80	0.41623	0.36392	1.2358	2.2937	1.6316	7.0199	2433441
206	0	slow	0.5	0.6	left	80	0.37728	0.36314	1.4336	2.2937	1.7924	7.2233	2440461
207	0	slow	0.5	0.4	left	80	0.36393	0.36025	1.2319	2.2937	1.5751	7.0186	2447681
208	1	slow	0.6	0.5	right	79	0.44701	0.36214	1.4338	2.2937	1.8607	7.2209	2454702
209	1	slow	0.4	0.5	right	79	0.38591	0.36172	1.2305	2.2937	1.5983	7.02	2461922
210	0	slow	0.7	0.4	left	80	0.49265	0.36115	1.4312	2.2937	1.9055	7.2182	2468942
211	0	fast	0.7	0.5	left	80	0.94148	0.39409	1.5334	0.86014	2.4546	5.8841	2491987
212	0	fast	0.6	0.3	right	80	0.39344	0.32965	1.2343	0.86014	1.6074	5.585	2497807
213	0	fast	0.6	0.4	left	80	0.44706	0.33028	1.3354	0.86014	1.7622	5.6859	2503393
214	1	fast	0.6	0.5	right	79	0.37259	0.33043	1.4368	0.86014	1.789	5.7869	2509079
215	0	fast	0.4	0.6	left	80	0.37042	0.32992	1.335	0.86014	1.6855	5.6854	2514866
216	1	fast	0.4	0.7	right	79	0.37366	0.33038	1.4348	0.86014	1.7886	5.7862	2520552
217	1	fast	0.7	0.3	right	79	0.35691	0.33036	1.3359	0.86014	1.6725	5.6861	2526338
218	0	fast	0.6	0.7	left	80	0.50126	0.33049	1.6354	0.86014	2.1168	5.9868	2532024
219	0	fast	0.3	0.6	left	80	0.52272	0.32989	1.2331	0.86014	1.7378	5.5865	2538011
220	1	fast	0.3	0.7	right	79	0.4466	0.32873	1.3339	0.86014	1.761	5.6857	2543597
221	0	fast	0.5	0.7	left	80	0.43945	0.32976	1.5346	0.86014	1.9536	5.8854	2549283
222	1	fast	0.4	0.4	right	79	0.53173	0.33016	1.1355	0.86014	1.6477	5.4866	2555169
223	1	fast	0.4	0.6	right	79	0.60584	0.32978	1.3346	0.86014	1.921	5.6866	2560655
224	1	fast	0.6	0.4	right	79	0.39545	0.32871	1.3324	0.86014	1.7093	5.6858	2566342
225	1	fast	0.5	0.7	right	79	0.40636	0.32925	1.5356	0.86014	1.9203	5.8855	2572028
226	1	fast	0.3	0.6	right	79	0.40602	0.3298	1.2351	0.86014	1.6214	5.5875	2577914
227	1	fast	0.3	0.4	right	79	0.36234	0.32795	1.0331	0.86014	1.3753	5.3848	2583500
228	0	fast	0.5	0.3	left	80	0.36626	0.32959	1.1343	0.86014	1.4806	5.4865	2588886
229	1	fast	0.6	0.5	right	79	0.40278	0.32958	1.4332	0.86014	1.8164	5.7857	2594373
230	1	fast	0.4	0.5	right	79	0.54278	0.32877	1.2338	0.86014	1.7564	5.5851	2600159
231	1	fast	0.6	0.3	right	79	0.43715	0.33042	1.2345	0.86014	1.652	5.587	2605745
232	0	fast	0.5	0.7	left	80	0.32814	0.32967	1.5342	0.86014	1.8417	5.8862	2611331
233	0	fast	0.6	0.3	left	80	0.39934	0.32898	1.2335	0.86014	1.6129	5.5857	2617218
234	1	fast	0.5	0.6	right	79	0.34122	0.32958	1.4338	0.86014	1.7552	5.7865	2622804
235	0	fast	0.3	0.6	left	80	0.42223	0.32834	1.2333	0.86014	1.6356	5.5873	2628590
236	0	fast	0.7	0.3	left	80	0.51881	0.34419	1.3326	0.86014	1.8312	5.6851	2634193
237	0	fast	0.5	0.5	left	80	0.54407	0.34502	1.333	0.86014	1.8574	5.6859	2639879
238	1	fast	0.5	0.5	right	79	0.4101	0.3453	1.3333	0.86014	1.7233	5.6856	2645565
239	0	fast	0.3	0.7	left	80	0.34677	0.34529	1.334	0.86014	1.6602	5.6859	2651251
240	1	fast	0.5	0.4	right	79	0.3832	0.34524	1.2337	0.86014	1.5969	5.5862	2656938
241	0	fast	0.7	0.6	left	80	0.34547	0.3454	1.6339	0.86014	1.9597	5.9869	2662524
242	0	fast	0.4	0.6	left	80	0.48793	0.34491	1.3328	0.86014	1.8003	5.6858	2668510
243	1	fast	0.6	0.7	right	79	0.33777	0.34462	1.6333	0.86014	1.951	5.9865	2674196
244	0	fast	0.6	0.7	left	80	0.39797	0.34409	1.6314	0.86014	2.0096	5.9846	2680183
245	0	fast	0.3	0.7	left	80	0.38908	0.34585	1.3337	0.86014	1.7028	5.6867	2686169
246	1	fast	0.4	0.6	right	79	0.35212	0.34521	1.3335	0.86014	1.6661	5.6896	2691855
247	1	fast	0.5	0.4	right	79	0.35098	0.34137	1.2286	0.86014	1.562	5.5839	2697542
248	0	fast	0.6	0.6	left	80	0.4018	0.34407	1.5329	0.86014	1.9141	5.8888	2703128
249	1	fast	0.3	0.6	right	79	0.53647	0.34129	1.2272	0.86014	1.7456	5.5821	2709014
250	0	fast	0.4	0.5	left	80	0.35643	0.34523	1.2332	0.86014	1.5697	5.5869	2714600
