sub	elec_name	number	event_scores	null_scores
1	LPM	6	0.8271604938271605	0.5432098765432098
1	LPM	7	0.7407407407407407	0.4444444444444444
1	LPM	8	0.6296296296296297	0.5802469135802469
1	LPM	9	0.691358024691358	0.5432098765432098
1	LPM	10	0.691358024691358	0.5679012345679012
1	RAHP	1	0.6296296296296297	0.5802469135802469
1	RAHP	2	0.6790123456790124	0.5679012345679012
1	RAHP	3	0.6666666666666666	0.5925925925925926
1	RAHP	4	0.7530864197530864	0.4567901234567901
1	RAHP	5	0.7530864197530864	0.4691358024691358
1	RAHP	6	0.691358024691358	0.5802469135802469
1	RAHP	7	0.7530864197530864	0.49382716049382713
1	RAHP	8	0.691358024691358	0.4444444444444444
1	RPHP	1	0.7407407407407407	0.6172839506172839
1	RPHP	2	0.7777777777777778	0.49382716049382713
1	RPHP	3	0.7160493827160493	0.43209876543209874
1	RPHP	4	0.7407407407407407	0.48148148148148145
1	RPHP	5	0.654320987654321	0.4691358024691358
1	RPHP	6	0.6790123456790124	0.4567901234567901
1	RPHP	8	0.691358024691358	0.48148148148148145
2	LATP	1	0.8482142857142857	0.5714285714285714
2	LATP	2	0.8660714285714286	0.5178571428571429
2	LATP	3	0.8214285714285714	0.5267857142857143
2	LATP	4	0.8839285714285714	0.5267857142857143
2	LATP	5	0.8392857142857143	0.5535714285714286
2	LATP	6	0.7767857142857143	0.5267857142857143
2	LATP	7	0.7678571428571429	0.5357142857142857
2	LAMG	1	0.5803571428571429	0.5535714285714286
2	LAMG	2	0.5982142857142857	0.45535714285714285
2	LAMG	3	0.625	0.44642857142857145
2	LAMG	4	0.6875	0.45535714285714285
2	LAMG	5	0.8035714285714286	0.49107142857142855
2	LAMG	6	0.75	0.4732142857142857
2	LAMG	7	0.7410714285714286	0.5446428571428571
2	LAMG	8	0.7678571428571429	0.5446428571428571
2	LAMG	9	0.7678571428571429	0.5357142857142857
2	LAHP	1	0.5625	0.5357142857142857
2	LAHP	2	0.625	0.6339285714285714
2	LAHP	3	0.6785714285714286	0.5446428571428571
2	LAHP	4	0.7410714285714286	0.5089285714285714
2	LAHP	5	0.7767857142857143	0.48214285714285715
2	LAHP	6	0.7321428571428571	0.4642857142857143
2	LAHP	7	0.7232142857142857	0.44642857142857145
2	LPLI	1	0.7589285714285714	0.5625
2	LPLI	2	0.7053571428571429	0.5625
2	LPLI	3	0.6428571428571429	0.5625
2	LPLI	4	0.6428571428571429	0.5267857142857143
2	LPLI	5	0.625	0.5
2	LPLI	6	0.5892857142857143	0.5535714285714286
2	LPLI	7	0.5267857142857143	0.5714285714285714
2	LSTG	1	0.5625	0.5357142857142857
2	LSTG	2	0.7589285714285714	0.44642857142857145
2	LSTG	3	0.7053571428571429	0.48214285714285715
2	LSTG	4	0.6071428571428571	0.44642857142857145
2	LSTG	5	0.75	0.49107142857142855
2	LSTG	6	0.6428571428571429	0.44642857142857145
2	LSTG	7	0.5714285714285714	0.5089285714285714
2	LSTG	8	0.6875	0.5
2	LOFC	1	0.6696428571428571	0.5625
2	LOFC	2	0.7767857142857143	0.5357142857142857
2	LOFC	3	0.7678571428571429	0.4732142857142857
2	LOFC	4	0.7857142857142857	0.5982142857142857
2	LOFC	5	0.7232142857142857	0.42857142857142855
2	LOFC	6	0.8125	0.5446428571428571
2	LOFC	7	0.7767857142857143	0.4642857142857143
2	LOFC	8	0.6875	0.49107142857142855
2	LSMA	1	0.6696428571428571	0.5535714285714286
2	LSMA	2	0.7232142857142857	0.5535714285714286
2	LSMA	3	0.7767857142857143	0.49107142857142855
2	LSMA	4	0.75	0.45535714285714285
2	LSMA	5	0.7232142857142857	0.5625
2	LSMA	6	0.6785714285714286	0.5535714285714286
2	LSMA	7	0.7142857142857143	0.5535714285714286
2	LSMA	8	0.7053571428571429	0.49107142857142855
2	LSMA	9	0.7767857142857143	0.5267857142857143
2	LSMA	10	0.6964285714285714	0.42857142857142855
2	LSMA	11	0.7589285714285714	0.4642857142857143
2	LSMA	12	0.8482142857142857	0.4642857142857143
2	LSMA	13	0.8125	0.5
2	LSMA	14	0.7142857142857143	0.5446428571428571
2	LACN	1	0.6517857142857143	0.4375
2	LACN	2	0.6875	0.5
2	LACN	3	0.6339285714285714	0.4375
2	LACN	4	0.7767857142857143	0.42857142857142855
2	LACN	5	0.7142857142857143	0.4375
2	LACN	6	0.7678571428571429	0.5089285714285714
