onset	duration	trial_type	value	sample
904.9039835294117	0.0999755859375	ISI Onset	3	904372
905.5263494117646	0.0999755859375	Go Cue	2	904994
905.8455370588234	0.10003662109375	Response	4	905313
911.5108676470587	0.0999755859375	Fixation	1	910975
911.9111029411764	0.0999755859375	ISI Onset	3	911375
912.413398235294	0.10003662109375	Go Cue	2	911877
912.8126329411764	0.10003662109375	Response	4	912276
918.4009182352941	0.0999755859375	Fixation	1	917861
918.8011535294116	0.0999755859375	ISI Onset	3	918261
919.5055676470588	0.10003662109375	Go Cue	2	918965
919.9738429411764	0.10003662109375	Response	4	919433
925.4920870588235	0.10003662109375	Fixation	1	924948
926.1924988235294	0.0999755859375	ISI Onset	3	925648
926.4966776470587	0.0999755859375	Go Cue	2	925952
926.8098617647058	0.0999755859375	Response	4	926265
932.4821964705882	0.10003662109375	Fixation	1	931934
933.0825494117646	0.10003662109375	ISI Onset	3	932534
933.7849623529411	0.0999755859375	Go Cue	2	933236
934.1681876470587	0.0999755859375	Response	4	933619
939.7734829411764	0.0999755859375	Fixation	1	939221
940.3738358823529	0.0999755859375	ISI Onset	3	939821
940.8771317647058	0.0999755859375	Go Cue	2	940324
941.2983794117646	0.0999755859375	Response	4	940745
946.8646517647059	0.10003662109375	Fixation	1	946308
947.1648282352941	0.0999755859375	ISI Onset	3	946608
947.4670058823529	0.10003662109375	Go Cue	2	946910
947.84823	0.10003662109375	Response	4	947291
953.4545258823529	0.0999755859375	Fixation	1	952894
953.8547611764706	0.10003662109375	ISI Onset	3	953294
954.2599994117646	0.0999755859375	Go Cue	2	953699
954.6522299999999	0.10003662109375	Response	4	954091
960.2445176470587	0.10003662109375	Fixation	1	959680
960.6447529411764	0.0999755859375	ISI Onset	3	960080
961.3481664705881	0.10003662109375	Go Cue	2	960783
961.6263299999999	0.0999755859375	Response	4	961061
967.3356864705881	0.0999755859375	Fixation	1	966767
967.7359217647058	0.10003662109375	ISI Onset	3	967167
968.2362158823529	0.10003662109375	Go Cue	2	967667
